,ID,Label,Hemi,x,y,z,n_vertices
158,319,L_Auditory_10,L,-51.06779,-14.467547,12.001569,27
159,320,L_Auditory_11,L,-52.6769,-23.538517,17.188074,70
160,321,L_Auditory_12,L,-53.860195,-2.626572,-3.847625,63
161,0,???,R,14.599049,-14.074681,-2.560165,872
162,22,R_None_22,R,30.795807,9.704809,-28.608662,45
163,23,R_None_23,R,17.263458,-36.14348,-4.0602164,2
164,24,R_None_24,R,17.87651,-33.579258,-11.541258,17
165,25,R_None_25,R,4.415774,18.345936,-21.54713,39
166,26,R_None_26,R,35.547382,35.086384,-13.461592,35
167,27,R_None_27,R,20.45756,9.014594,-21.916857,12
168,28,R_None_28,R,23.268946,28.733154,-19.9594,55
169,29,R_None_29,R,21.903833,47.946186,-18.49655,49
170,30,R_None_30,R,12.420654,22.44099,-26.806063,13
171,31,R_None_31,R,13.768843,15.779239,-18.571472,28
172,32,R_None_32,R,10.396911,35.836056,-23.906609,49
173,33,R_None_33,R,2.8334215,38.3673,-25.39666,16
174,34,R_None_34,R,62.283997,-30.047525,-18.664242,20
175,35,R_None_35,R,57.59003,-10.548605,-28.88893,23
176,36,R_None_36,R,48.82502,11.256092,-28.293964,100
